Park	Park Suffix	States	Park Website	Photos	Latitude	Longitude	Number of Visitors	Visited?	Date Visited	Rank	Notes
Acadia	National Park	Maine	https://www.nps.gov/acad/index.htm	https://www.google.com/maps/uv?hl=en&pb=!1s0x4caea3b20ea22925:0x62df220efc555584!2m19!2m2!1i80!2i80!3m1!2i20!16m13!1b1!2m2!1m1!1e1!2m2!1m1!1e3!2m2!1m1!1e5!2m2!1m1!1e4!3m1!7e115!4shttps://www.national-park.com/welcome-to-acadia-national-park/!5sAcadia+National+Park+-+Google+Search&imagekey=!1e1!2shttps://www.national-park.com/wp-content/uploads/2016/04/Welcome-to-Acadia-National-Park.jpeg&sa=X&ved=0ahUKEwjm-oro0PzUAhUJ7IMKHWojDG0QoioIqQIwDQ	44.3385	-68.2733	3303393	Yes	10/16/2017		Maine, on the water
Glacier	National Park	Montana	https://www.nps.gov/glac/index.htm	https://www.google.com/maps/uv?hl=en&pb=!1s0x5368901555555555:0xaf16bc2215c55dec!2m19!2m2!1i80!2i80!3m1!2i20!16m13!1b1!2m2!1m1!1e1!2m2!1m1!1e3!2m2!1m1!1e5!2m2!1m1!1e4!3m1!7e115!4shttps://www.nps.gov/glac/index.htm!5sGlacier+National+Park+-+Google+Search&imagekey=!1e1!2shttps://www.nps.gov/common/uploads/grid_builder/imr/crop16_9/DA3C1F02-1DD8-B71B-0BEA9E07D90D38B8.jpg?width%3D950%26quality%3D90%26mode%3Dcrop&sa=X&ved=0ahUKEwi84ObL1fzUAhUK2IMKHRrNCDoQoioItwIwFA	48.7596	-113.787	2946681				
Zion	National Park	Utah	https://www.nps.gov/zion/index.htm	https://www.google.com/maps/uv?hl=en&pb=!1s0x80caead08844f8d9:0x7c2e3a15aa3656f5!2m19!2m2!1i80!2i80!3m1!2i20!16m13!1b1!2m2!1m1!1e1!2m2!1m1!1e3!2m2!1m1!1e5!2m2!1m1!1e4!3m1!7e115!4shttps://www.nps.gov/zion/planyourvisit/thenarrows.htm!5sZion+National+Park+-+Google+Search&imagekey=!1e1!2shttps://www.nps.gov/common/uploads/imr/park/zion/334A1651-155D-451F-67D5B8F457D77068/334A1651-155D-451F-67D5B8F457D77068-large.jpg&sa=X&ved=0ahUKEwiQ9Onq0PzUAhUpxoMKHcr1C2EQoioIpgIwDw	37.2982	-113.0263	4295128				
Grand Teton	National Park	Wyoming	https://www.nps.gov/grte/index.htm	https://www.google.com/maps/uv?hl=en&pb=!1s0x5352519ec95d1ba9:0xa5a0b88ecc91a337!2m19!2m2!1i80!2i80!3m1!2i20!16m13!1b1!2m2!1m1!1e1!2m2!1m1!1e3!2m2!1m1!1e5!2m2!1m1!1e4!3m1!7e115!4shttp://www.cafepress.com/%2Bgrand-teton-national-park%2Bgifts!5sGrand+Teton+National+Park+-+Google+Search&imagekey=!1e1!2shttp://i3.cpcache.com/product/1351548537/grand_teton_national_park_ornament_round.jpg?width%3D225%26height%3D225%26Filters%3D%255B%257B%2522name%2522%253A%2522background%2522%252C%2522value%2522%253A%2522F2F2F2%2522%252C%2522sequence%2522%253A2%257D%255D&sa=X&ved=0ahUKEwiOpq7I8_zUAhVk8IMKHaO1DHUQoioIpAIwDQ	43.8098	-110.6864	3270076				
Rocky Mountain	National Park	Colorado	https://www.nps.gov/romo/index.htm	https://www.google.com/maps/uv?hl=en&pb=!1s0x876979e4455903e9:0xfa27ee43a78e8217!2m19!2m2!1i80!2i80!3m1!2i20!16m13!1b1!2m2!1m1!1e1!2m2!1m1!1e3!2m2!1m1!1e5!2m2!1m1!1e4!3m1!7e115!4shttp://rockymountainnationalpark.com/!5sRocky+Mountain+National+Park+-+Google+Search&imagekey=!1e1!2shttp://rockymountainnationalpark.com/sites/all/themes/rmnp/images/fall-foliage-rocky-mountain-national-park.jpg&sa=X&ved=0ahUKEwis0drr0fzUAhVC2oMKHUXXDO0QoioIpAIwDQ	40.3428	-105.6836	4517585	Yes			With Tyler, we hiked around there
Denali	National Park And Preserve	Alaska	https://www.nps.gov/dena/index.htm	https://www.google.com/maps/uv?hl=en&pb=!1s0x56cdf3ff88d01605:0xc6b53b15131936a5!2m19!2m2!1i80!2i80!3m1!2i20!16m13!1b1!2m2!1m1!1e1!2m2!1m1!1e3!2m2!1m1!1e5!2m2!1m1!1e4!3m1!7e115!4shttps://en.wikipedia.org/wiki/Denali_National_Park_and_Preserve!5sDenali+National+Park+-+Google+Search&imagekey=!1e1!2shttps://upload.wikimedia.org/wikipedia/commons/thumb/9/9e/Mount_McKinley_Alaska.jpg/1200px-Mount_McKinley_Alaska.jpg&sa=X&ved=0ahUKEwj95Zy09PzUAhUR24MKHZolB0oQoioIowIwEQ	63.1148	-151.1926	587412				
Yosemite	National Park	California	https://www.nps.gov/yose/index.htm	https://www.google.com/maps/uv?hl=en&pb=!1s0x8096f09df58aecc5:0x2d249c2ced8003fe!2m19!2m2!1i80!2i80!3m1!2i20!16m13!1b1!2m2!1m1!1e1!2m2!1m1!1e3!2m2!1m1!1e5!2m2!1m1!1e4!3m1!7e115!4shttps://picasaweb.google.com/lh/sredir?uname%3D112376230279820040809%26id%3D6140676863413681186%26target%3DPHOTO!5syosemite+national+park+-+Google+Search&imagekey=!1e3!2s-ZTwWZcecbzo/VTgREpQ7fCI/AAAAAAAAABU/2WfHFr5jzjUJgDDN0sp1igor5iY7b9CJACLIB&sa=X&ved=0ahUKEwizza7Aiv3UAhUM84MKHarHCYcQoioIlgEwEg	37.8651	-119.5383	5028868	Yes			Really cool. Nice vistas
Great Smoky Mountains	National Park	Tennessee	https://www.nps.gov/grsm/index.htm		35.6358	-83.5821	11312786	Yes			Clingman's Dome
Voyageurs	National Park	Minnesota	https://www.nps.gov/voya/index.htm	https://www.google.com/search?q=Voyageurs+National+Park&rlz=1C5CHFA_enUS719US719&stick=H4sIAAAAAAAAAH2SvU7DMBSFiQSiTRlQulUIVUxsaZwmdRYGWKkYYEEMUfPbNrGbOFYTZ-MVeA5ehD4AIwMbb8BIWuU6G9unk-OT4-vbO7nq60SfmLgqYzT0woKP6YKvNnSRjrMFS4qd0tsbfFfgFjGeTUGljLUYC6NRD2FGXFMKbCO7ArdvWyC7InJ2yume05iDalEmD1LPzoAdJ4VwxGLPAD3nbg1cbYnMydx6KysWMgbHIgb2poUDXObYbNnEAhmSyzICT0GYDTwTYtp5EqnnMyuC35KklPFbEneNtxhuUjkZkTeMAga6z9dBG2PWCEaGnCTJugY8B46Ijbo2FEtunlSOmzuNRz3kYCO3rDZ_yTC0R7aHUmiPJ_KlorVDukg067iQw8n8AHQjyCdLYEEonEX1msvB5kvD_1ZelcH5z-_XcFS9vX98Kkw9vm32T1urg8eQP23mm2AVCe1Fe1b785B4ISseIu1eVe82aRr6-yXVbtTL0Uj3paDD8rqH5b0-Gl2o_3w_-wN0PC-NAAMAAA&source=lnms&tbm=isch&sa=X&ved=0ahUKEwjYptC0if3UAhVm04MKHRQUAdEQ_AUIBygC&biw=1479&bih=926	48.4889	-93.4861	241912				Eh kinda boring
Sequoia	National Park	California	https://www.nps.gov/seki/index.htm		36.4864	-118.5658	1000583				
Big Bend	National Park	Texas	https://www.nps.gov/bibe/index.htm	https://www.google.com/maps/uv?hl=en&pb=!1s0x86f217704be5ef2b:0x64467dbc2783850f!2m19!2m2!1i80!2i80!3m1!2i20!16m13!1b1!2m2!1m1!1e1!2m2!1m1!1e3!2m2!1m1!1e5!2m2!1m1!1e4!3m1!7e115!4shttps://visitbigbend.com/!5sBig+Bend+National+Park+-+Google+Search&imagekey=!1e1!2shttps://farm5.staticflickr.com/4128/5070102175_b06089cfde_b.jpg&sa=X&ved=0ahUKEwj_x6mki_3UAhUn9IMKHXdKCusQoioInAIwCg	29.1275	-103.2425					Huge Plateaus
Yellowstone	National Park	Idaho,Montana,Wyoming	https://www.nps.gov/yell/index.htm	https://www.google.com/maps/uv?hl=en&pb=!1s0x5351e55555555555%3A0xaca8f930348fe1bb!2m19!2m2!1i80!2i80!3m1!2i20!16m13!1b1!2m2!1m1!1e1!2m2!1m1!1e3!2m2!1m1!1e5!2m2!1m1!1e4!3m1!7e115!4shttps%3A%2F%2Fdojmt.gov%2Fmedia-item%2Fdisability-rights-montana%2F!5sYellowstone%20National%20Park%20-%20Google%20Search&imagekey=!1e3!2s-zn2p8B_Y11Y%2FWUUUIn1fIjI%2FAAAAAAAA70Q%2F-kHockbxROMaR5D8ubyVkzkIJf28kimSwCLIBGAYYCw&sa=X&sqi=2&ved=0ahUKEwjaubm1jP3UAhXKyoMKHQj9AawQoioIpAIwDA	44.4279	-110.5885	4257177				
Grand Canyon	National Park	Arizona	https://www.nps.gov/grca/index.htm	https://www.google.com/maps/uv?hl=en&pb=!1s0x873312ae759b4d15:0x1f38a9bec9912029!2m19!2m2!1i80!2i80!3m1!2i20!16m13!1b1!2m2!1m1!1e1!2m2!1m1!1e3!2m2!1m1!1e5!2m2!1m1!1e4!3m1!7e115!4shttps://www.flickr.com/photos/grand_canyon_nps/6225141168!5sGrand+Canyon+-+Google+Search&imagekey=!1e1!2shttps://c1.staticflickr.com/7/6155/6225141168_976a9fbb46_b.jpg&sa=X&ved=0ahUKEwi6sJSXjf3UAhWEx4MKHfP6CzAQoioIoQIwDg	36.1069	-112.113	5969811	Yes			
Arches	National Park	Utah	https://www.nps.gov/arch/index.htm	https://www.google.com/maps/uv?hl=en&pb=!1s0x80caf61a860daa51:0x4f42ea69d128c495!2m19!2m2!1i80!2i80!3m1!2i20!16m13!1b1!2m2!1m1!1e1!2m2!1m1!1e3!2m2!1m1!1e5!2m2!1m1!1e4!3m1!7e115!4shttps://utah.com/arches-national-park!5sArches+National+Park+-+Google+Search&imagekey=!1e1!2shttps://media.deseretdigital.com/file/e3f6fd6588?crop%3Dtop:0%7Cleft:0%7Cwidth:1260%7Cheight:670%7Cgravity:Center%26quality%3D55%26interlace%3Dnone%26resize%3Dwidth:1260%26order%3Dresize,crop%26c%3D14%26a%3De0f131f0&sa=X&ved=0ahUKEwjw273B0_zUAhWF14MKHRWIB0YQoioIoQIwCw	38.7331	-109.5925	1585718				
Mount Ranier	National Park	Washington	https://www.nps.gov/mora/index.htm	https://www.google.com/maps/uv?hl=en&pb=!1s0x5490cde6eec94b87:0x5cf4a1fb4f91a418!2m19!2m2!1i80!2i80!3m1!2i20!16m13!1b1!2m2!1m1!1e1!2m2!1m1!1e3!2m2!1m1!1e5!2m2!1m1!1e4!3m1!7e115!4shttps://en.wikipedia.org/wiki/Mount_Rainier_National_Park!5sMount+Rainier+National+Park+-+Google+Search&imagekey=!1e1!2shttps://upload.wikimedia.org/wikipedia/commons/thumb/3/32/Mount_Rainier_from_above_Myrtle_Falls_in_August.JPG/1200px-Mount_Rainier_from_above_Myrtle_Falls_in_August.JPG&sa=X&ved=0ahUKEwiK0ZjQjv3UAhUs4oMKHTpgBHwQoioInQIwDw	46.8799	-121.7269	1356913				
Olympic	National Park	Washington	https://www.nps.gov/olym/index.htm	https://www.google.com/maps/uv?hl=en&pb=!1s0x548e8009cf0472d1:0x2087abb27d7951!2m19!2m2!1i80!2i80!3m1!2i20!16m13!1b1!2m2!1m1!1e1!2m2!1m1!1e3!2m2!1m1!1e5!2m2!1m1!1e4!3m1!7e115!4zaHR0cHM6Ly93d3cubnBzLmdvdi9vbHltLw!5sOlympic+National+Park+-+Google+Search&imagekey=!1e1!2shttps://www.nps.gov/common/uploads/grid_builder/pwr/crop16_9/EDE8F324-1DD8-B71B-0BC4D7B99D607A8D.jpg?width%3D950%26quality%3D90%26mode%3Dcrop&sa=X&ved=0ahUKEwifuJamj_3UAhVD5oMKHV1hDh4QoioIogIwDA	47.8021	-123.6044					
Mammoth Cave	National Park	Kentucky	https://www.nps.gov/maca/index.htm	https://www.google.com/maps/uv?hl=en&pb=!1s0x8866024d94c97b57:0x1f88b3a06080a3c0!2m19!2m2!1i80!2i80!3m1!2i20!16m13!1b1!2m2!1m1!1e1!2m2!1m1!1e3!2m2!1m1!1e5!2m2!1m1!1e4!3m1!7e115!4zaHR0cDovL21hdW9zY2FyLmNvbS8yMDExLzA4LzI2L21hbW1vdGgtY2F2ZS8!5smammoth+caves+national+park+-+Google+Search&imagekey=!1e1!2shttp://mauoscar.files.wordpress.com/2011/08/mammoth-caves-national-park.jpg&sa=X&ved=0ahUKEwjD6eyE44LVAhVqzoMKHdq8CBMQoioIezAN	37.1869	-86.1005	586514	Yes			
White Sands	National Park	New Mexico	https://www.nps.gov/whsa/index.htm	https://www.google.com/maps/place/White+Sands+National+Park/@32.7872403,-106.3256816,3a,75y,90t/data=!3m8!1e2!3m6!1sAF1QipN_VePcmDms9JVvcWQ1Gla9_-ViptmU2jxbglyq!2e10!3e12!6shttps:%2F%2Flh5.googleusercontent.com%2Fp%2FAF1QipN_VePcmDms9JVvcWQ1Gla9_-ViptmU2jxbglyq%3Dw114-h86-k-no!7i4032!8i3024!4m5!3m4!1s0x86e06303071072f3:0x36d1188767bf20c3!8m2!3d32.7872403!4d-106.3256816?hl=en	32.7872	-106.3256	608785	Yes	2020		Like nothing I've ever seen
Death Valley	National Park	California	https://www.nps.gov/deva/index.htm	https://www.google.com/maps/uv?pb=!1s0x80c74b7776ae8a47%3A0xccc9f07c7bf2b054!3m1!7e115!4shttps%3A%2F%2Flh5.googleusercontent.com%2Fp%2FAF1QipMo5FSQkrdk865sEnov_dVH-9PlOH9vhvjVl8zf%3Dw240-h160-k-no!5sdeath%20valley%20national%20park%20-%20Google%20Search!15sCgIgAQ&imagekey=!1e10!2sAF1QipMo5FSQkrdk865sEnov_dVH-9PlOH9vhvjVl8zf&hl=en&sa=X&ved=2ahUKEwjkyMjkmsHsAhXYQc0KHaqJD3AQoiowHnoECBsQAw	36.5053	-117.0794	1678660	Yes	2020		Hot in the summer
Everglades	National Park	Florida	https://www.nps.gov/ever/index.htm	https://www.google.com/maps/place/Everglades+National+Park/@25.2866155,-80.8986509,3a,75y,90t/data=!3m8!1e2!3m6!1sAF1QipNC0Dy1pOyykbQgE61vrdl_7-rYdx6BodHsuTwe!2e10!3e12!6shttps:%2F%2Flh5.googleusercontent.com%2Fp%2FAF1QipNC0Dy1pOyykbQgE61vrdl_7-rYdx6BodHsuTwe%3Dw114-h86-k-no!7i4000!8i2992!4m5!3m4!1s0x88d0a8307a6c05db:0xfe03e56762f3197!8m2!3d25.2866155!4d-80.8986509	25.3485	-81.2245		Yes	2018		
